host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,amenities_count,host_experience_days
within a day,0.9,0.6,False,2.0,True,False,Forest Hill South,43.69863942,-79.42366743,Entire condo,Entire home/apt,7,3.0,4.0,179.0,28,120,11,41,71,161,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.65,14,3612.0
within an hour,1.0,1.0,False,3.0,True,True,High Park North,43.65891393,-79.45444273,Entire home,Entire home/apt,3,1.0,1.0,106.0,28,365,0,0,0,0,7,7,2,5.0,5.0,4.86,5.0,5.0,5.0,4.71,True,3.82,45,1865.0
within an hour,1.0,1.0,False,2.0,True,True,Parkwoods-Donalda,43.7496109,-79.3363266,Entire home,Entire home/apt,8,4.0,4.0,246.0,1,1125,13,43,73,348,23,23,11,4.39,4.52,4.17,4.87,4.91,4.74,4.39,True,7.84,39,2710.0
within an hour,1.0,0.86,False,3.0,True,False,Stonegate-Queensway,43.62905,-79.4961,Private room in home,Private room,1,1.0,1.0,29.0,28,365,11,27,31,306,2,2,1,5.0,5.0,5.0,5.0,5.0,4.5,5.0,True,1.07,21,5045.0
within an hour,1.0,0.99,True,2.0,True,True,Waterfront Communities-The Island,43.642918,-79.380486,Entire condo,Entire home/apt,4,1.0,3.0,352.0,2,1125,0,3,30,145,30,30,8,4.73,4.87,4.7,4.67,4.93,4.97,4.83,False,9.89,45,5044.0
within an hour,1.0,0.96,False,1.0,True,True,High Park-Swansea,43.63847026,-79.47617292,Entire guest suite,Entire home/apt,2,1.0,1.0,138.0,1,1125,14,41,71,174,6,6,4,4.83,5.0,4.5,5.0,5.0,4.67,4.83,False,4.62,44,4117.0
within a few hours,1.0,1.0,False,3.0,True,True,Mount Olive-Silverstone-Jamestown,43.75859073,-79.59096691,Private room in home,Private room,1,1.0,1.0,45.0,28,365,0,29,59,149,1,1,1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,False,1.0,31,5049.0
within an hour,0.99,0.99,False,111.0,True,True,Waterfront Communities-The Island,43.63926,-79.39889,Entire condo,Entire home/apt,5,2.0,3.0,669.0,28,365,19,38,64,121,3,3,2,4.67,5.0,5.0,4.33,5.0,5.0,5.0,False,1.64,51,4743.0
within an hour,1.0,1.0,True,2.0,True,True,The Beaches,43.67137475,-79.29091549,Entire guest suite,Entire home/apt,2,1.0,1.0,209.0,1,20,15,26,26,88,18,18,4,5.0,4.89,5.0,5.0,5.0,4.94,4.83,False,5.63,33,2617.0
within an hour,1.0,0.9,False,6.0,True,True,Thistletown-Beaumond Heights,43.73913,-79.5656,Private room in rental unit,Private room,2,1.0,1.0,90.0,5,29,25,55,85,360,3,3,1,5.0,4.67,5.0,5.0,5.0,5.0,4.67,True,1.2,32,4997.0
within an hour,1.0,1.0,False,1.0,True,True,Rockcliffe-Smythe,43.67108803,-79.4878035,Entire guest suite,Entire home/apt,3,1.0,1.0,95.0,1,365,4,15,32,304,15,15,4,4.93,4.93,4.93,5.0,5.0,4.4,4.93,False,6.72,35,2455.0
within a few hours,1.0,0.67,True,2.0,True,True,Moss Park,43.6520584,-79.3714575,Entire condo,Entire home/apt,2,1.0,1.0,225.0,28,365,2,2,32,122,1,1,0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,False,0.77,11,2467.0
within an hour,0.99,0.97,False,14.0,True,True,Bayview Village,43.76942,-79.37454,Private room in home,Private room,1,1.0,1.0,90.0,1,365,19,19,19,19,12,12,3,4.75,4.58,4.83,4.92,4.58,4.75,4.5,False,3.91,33,3792.0
within a few hours,1.0,0.78,False,1.0,True,False,Danforth East York,43.68307495,-79.34575653,Entire home,Entire home/apt,5,3.0,3.0,154.0,3,30,1,12,42,42,10,10,4,4.8,5.0,4.8,5.0,4.9,5.0,5.0,False,4.48,44,2919.0
within a few hours,1.0,0.85,False,1.0,True,False,The Beaches,43.6712,-79.30948,Entire home,Entire home/apt,10,3.0,9.0,550.0,5,20,0,0,0,96,5,5,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2.63,46,3244.0
within an hour,1.0,1.0,False,3.0,True,True,Birchcliffe-Cliffside,43.6891319,-79.266544,Entire home,Entire home/apt,1,1.0,1.0,46.0,28,180,0,0,29,304,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.0,46,3818.0
within an hour,0.9,1.0,False,3.0,True,True,South Parkdale,43.63964652,-79.42533432,Entire condo,Entire home/apt,2,1.0,1.0,200.0,2,28,3,23,49,304,3,3,3,5.0,5.0,5.0,4.67,5.0,5.0,5.0,True,3.0,11,4346.0
within a day,0.9,0.6,False,4.0,True,True,Lawrence Park North,43.73362012,-79.39517654,Private room in home,Private room,1,1.0,1.0,51.0,3,29,6,6,35,92,1,1,1,4.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.0,38,2104.0
within a few hours,0.79,0.74,False,2.0,True,True,Long Branch,43.58647011,-79.54032875,Entire bungalow,Entire home/apt,6,3.0,3.0,183.0,2,365,2,22,44,305,16,16,6,4.44,4.44,3.88,5.0,4.75,5.0,4.5,False,7.16,47,2948.0
within a few hours,1.0,0.9,True,3.0,True,True,Bay Street Corridor,43.66584,-79.38732,Entire condo,Entire home/apt,6,3.0,3.0,679.0,28,365,10,40,68,158,12,12,3,4.92,4.92,5.0,4.25,4.67,4.83,4.67,False,4.39,44,2751.0
within an hour,1.0,0.93,False,274.0,True,True,South Riverdale,43.66455,-79.32551,Entire rental unit,Entire home/apt,6,2.0,3.0,142.0,28,365,24,40,40,40,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.48,45,3965.0
within an hour,1.0,1.0,False,2.0,True,True,Bayview Village,43.7668748,-79.3710635,Entire condo,Entire home/apt,4,2.0,2.0,200.0,28,90,18,20,50,62,1,1,0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,False,0.52,52,4104.0
within an hour,1.0,1.0,False,1.0,True,True,Cabbagetown-South St.James Town,43.664722,-79.359612,Entire home,Entire home/apt,5,2.0,3.0,344.0,3,1125,5,29,59,321,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,False,1.0,25,3230.0
within an hour,1.0,0.8,False,1.0,False,True,Palmerston-Little Italy,43.65538405,-79.42092842,Entire rental unit,Entire home/apt,2,1.0,1.0,169.0,2,27,0,7,30,304,13,13,4,4.54,4.85,4.62,4.92,4.85,4.85,4.69,True,5.06,29,3089.0
within an hour,1.0,0.95,False,10.0,True,True,Niagara,43.63652751,-79.40494215,Entire condo,Entire home/apt,3,1.0,2.0,336.0,3,90,8,25,55,80,12,12,4,5.0,5.0,5.0,4.92,5.0,4.92,4.92,False,4.56,38,2362.0
within a few hours,1.0,1.0,False,8.0,True,True,York University Heights,43.7481,-79.48926,Entire rental unit,Entire home/apt,4,2.0,2.0,85.0,28,180,0,0,0,91,2,2,1,5.0,5.0,4.5,5.0,5.0,5.0,4.5,True,1.58,10,4618.0
within an hour,1.0,1.0,True,3.0,True,True,Moss Park,43.65971,-79.37326,Entire home,Entire home/apt,8,3.0,4.0,1118.0,2,1125,18,48,78,258,10,10,3,4.9,4.8,4.8,4.9,4.7,4.5,4.5,True,3.41,20,3600.0
within a few hours,1.0,1.0,False,3.0,True,True,Trinity-Bellwoods,43.65372,-79.42319,Entire home,Entire home/apt,6,3.0,3.0,768.0,3,365,0,0,0,79,4,4,3,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,3.33,25,2905.0
within an hour,1.0,0.99,False,1.0,True,True,Church-Yonge Corridor,43.66712,-79.38142,Private room in rental unit,Private room,2,1.0,1.0,89.0,1,1125,2,10,30,30,24,24,5,4.83,4.92,4.75,4.79,4.96,5.0,4.83,False,8.57,7,3434.0
within an hour,1.0,1.0,False,2.0,True,True,Trinity-Bellwoods,43.6549171,-79.4086405,Entire rental unit,Entire home/apt,2,1.0,1.0,103.0,28,32,9,9,15,290,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.81,18,2086.0
within an hour,0.99,0.99,False,111.0,True,True,Waterfront Communities-The Island,43.63761,-79.39948,Entire condo,Entire home/apt,2,1.0,2.0,238.0,28,365,23,29,59,297,2,2,0,5.0,5.0,5.0,3.5,5.0,5.0,5.0,True,1.11,44,4743.0
within an hour,1.0,0.96,False,4.0,True,True,Cliffcrest,43.71773151,-79.24781661,Private room in home,Private room,1,1.0,1.0,55.0,1,28,3,8,38,38,2,2,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,True,0.86,34,2962.0
within an hour,1.0,1.0,False,2.0,True,True,Cliffcrest,43.73528565,-79.23002899,Entire guest suite,Entire home/apt,2,1.0,1.0,96.0,28,60,15,45,75,75,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.0,48,2142.0
within a day,1.0,1.0,False,2.0,True,True,Yonge-Eglinton,43.70449,-79.40023,Entire home,Entire home/apt,5,3.0,3.0,235.0,30,365,0,0,0,249,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,False,1.0,18,2262.0
within an hour,1.0,0.99,True,25.0,True,True,Annex,43.67366,-79.41384,Entire loft,Entire home/apt,3,2.0,2.0,333.0,28,30,26,56,71,71,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.77,49,2205.0
within an hour,1.0,1.0,False,4.0,True,True,Waterfront Communities-The Island,43.64036,-79.39675,Entire condo,Entire home/apt,6,3.0,4.0,931.0,28,365,21,51,81,171,8,8,1,5.0,5.0,5.0,5.0,5.0,5.0,4.88,False,2.82,11,1976.0
within an hour,1.0,1.0,False,1.0,True,True,Waterfront Communities-The Island,43.63962032,-79.39614096,Entire condo,Entire home/apt,4,1.0,3.0,265.0,2,1125,0,14,17,92,14,14,7,4.86,4.93,4.86,4.86,4.93,4.93,5.0,True,7.24,52,2918.0
within an hour,1.0,1.0,False,2.0,True,True,Weston,43.70322,-79.52147,Private room in bungalow,Private room,4,2.0,2.0,80.0,28,365,2,32,62,334,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1.0,37,3208.0
within a day,0.7,0.64,False,4.0,True,True,Westminster-Branson,43.78749,-79.4564,Private room in home,Private room,1,1.0,1.0,50.0,1,365,0,28,58,333,2,2,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,False,0.8,40,4437.0
within an hour,1.0,0.93,False,3.0,True,True,Dovercourt-Wallace Emerson-Junction,43.65997,-79.45113,Entire home,Entire home/apt,2,1.0,1.0,464.0,1,365,24,54,84,109,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.7,38,4927.0
within a few hours,1.0,1.0,True,5.0,True,True,Niagara,43.6371738,-79.4014175,Entire condo,Entire home/apt,4,2.0,2.0,1836.0,28,400,30,60,90,364,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,False,1.0,46,1318.0
within an hour,1.0,0.93,False,274.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66318,-79.43484,Entire home,Entire home/apt,8,4.0,4.0,762.0,2,1125,16,41,66,66,10,10,3,4.8,4.9,5.0,5.0,4.7,5.0,4.7,False,4.35,46,3965.0
within an hour,1.0,1.0,False,5.0,True,True,Bay Street Corridor,43.6654,-79.38593,Entire condo,Entire home/apt,4,2.0,3.0,289.0,2,365,1,12,39,219,15,15,6,4.87,4.93,4.93,4.87,5.0,5.0,4.73,True,5.92,40,4231.0
within a few hours,1.0,1.0,True,8.0,True,True,Waterfront Communities-The Island,43.64116,-79.379,Entire condo,Entire home/apt,3,1.0,2.0,200.0,1,365,5,11,29,296,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.0,12,982.0
within an hour,1.0,1.0,False,2.0,True,True,The Beaches,43.67296,-79.28204,Private room in home,Private room,1,1.0,1.0,59.0,28,365,0,23,53,328,1,1,0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,False,0.77,36,1774.0
within a few hours,1.0,1.0,False,1.0,True,True,Trinity-Bellwoods,43.65345081,-79.41014752,Entire home,Entire home/apt,6,3.0,3.0,750.0,4,14,0,0,0,54,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.0,49,3070.0
within an hour,1.0,0.93,False,274.0,True,True,Niagara,43.636642,-79.4057224,Entire condo,Entire home/apt,2,1.0,1.0,399.0,2,365,14,44,68,68,13,13,4,4.54,4.92,4.92,4.54,4.38,5.0,4.54,False,4.33,43,3965.0
within an hour,1.0,1.0,False,1.0,False,True,Moss Park,43.65287791,-79.37215539,Entire condo,Entire home/apt,6,2.0,2.0,500.0,1,365,22,52,82,357,7,7,4,4.14,4.57,4.29,4.57,4.86,4.86,4.14,False,4.04,49,4799.0
within an hour,1.0,1.0,False,1.0,True,False,Waterfront Communities-The Island,43.6454,-79.39219,Entire condo,Entire home/apt,2,1.0,1.0,180.0,1,1125,0,6,34,122,20,20,10,4.9,4.95,4.7,4.85,5.0,4.95,4.9,True,7.59,44,4362.0
within an hour,1.0,0.9,False,1.0,True,True,The Beaches,43.66934,-79.31007,Entire guest suite,Entire home/apt,2,1.0,2.0,350.0,2,1125,0,0,0,0,6,6,0,4.83,5.0,5.0,5.0,5.0,5.0,4.67,False,2.12,48,4000.0
within an hour,1.0,0.94,True,9.0,True,True,Thorncliffe Park,43.71337,-79.35302,Entire condo,Entire home/apt,3,1.0,2.0,149.0,4,180,8,38,68,343,6,6,3,4.83,5.0,4.83,4.67,5.0,4.5,4.67,True,2.77,48,1496.0
within an hour,0.92,1.0,False,38.0,True,True,Trinity-Bellwoods,43.65243,-79.42273,Entire rental unit,Entire home/apt,6,3.0,3.0,257.0,1,21,2,11,14,14,7,7,3,3.57,4.14,3.71,4.43,3.86,4.43,3.57,True,3.44,37,4399.0
within a few hours,0.95,0.56,True,24.0,True,True,O'Connor-Parkview,43.71352,-79.3078,Private room in bungalow,Private room,1,1.0,1.0,53.0,30,365,22,52,82,357,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.05,47,3484.0
within an hour,1.0,0.95,False,2.0,True,True,Moss Park,43.6592531,-79.3684232,Private room in condo,Private room,2,1.0,1.0,220.0,1,5,0,0,0,0,8,8,0,4.63,4.63,4.5,5.0,4.88,4.38,4.38,False,2.7,18,1820.0
within an hour,0.98,0.99,False,16.0,True,True,Banbury-Don Mills,43.74797,-79.36737,Private room in home,Private room,1,1.0,1.0,80.0,1,365,6,36,66,341,7,7,3,4.57,4.86,4.43,4.71,4.71,4.71,4.29,True,2.84,25,3960.0
within a few hours,1.0,0.55,False,2.0,True,True,Greenwood-Coxwell,43.67644,-79.32938,Entire home,Entire home/apt,6,4.0,3.0,275.0,3,365,0,0,11,11,6,6,2,4.33,4.33,4.67,4.67,3.83,4.67,4.33,False,3.1,47,1693.0
within an hour,1.0,1.0,False,1.0,True,True,Taylor-Massey,43.7003795,-79.29554107,Entire bungalow,Entire home/apt,4,2.0,2.0,199.0,2,21,14,44,74,164,9,9,4,4.89,5.0,4.89,5.0,5.0,5.0,5.0,True,4.29,37,4038.0
within an hour,0.99,0.99,False,15.0,True,True,Kensington-Chinatown,43.65126,-79.39747,Private room in home,Private room,1,1.0,1.0,110.0,28,365,6,7,12,287,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.64,8,4701.0
within an hour,1.0,1.0,False,2.0,True,True,Waterfront Communities-The Island,43.64257,-79.38263,Entire condo,Entire home/apt,6,3.0,3.0,565.0,28,1125,5,17,47,322,5,5,1,4.8,4.8,4.6,4.8,5.0,5.0,4.8,True,1.81,29,5051.0
within an hour,1.0,1.0,False,3.0,True,True,Waterfront Communities-The Island,43.64561,-79.38986,Entire condo,Entire home/apt,2,1.0,1.0,785.0,10,365,13,13,13,13,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.77,16,3680.0
within an hour,1.0,0.94,True,9.0,True,True,Willowdale East,43.78213,-79.39948,Private room in home,Private room,1,1.0,1.0,85.0,28,365,1,31,61,336,1,1,0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,False,0.48,61,1496.0
within an hour,1.0,0.96,False,15.0,True,True,South Riverdale,43.67057617,-79.3388252,Private room in home,Private room,1,1.0,1.0,130.0,1,365,16,46,76,351,11,11,6,4.64,4.55,4.64,4.64,4.64,4.36,4.36,False,3.93,32,3985.0
within an hour,0.96,0.86,False,19.0,True,True,Waterfront Communities-The Island,43.6420419,-79.38221075,Entire condo,Entire home/apt,2,1.0,1.0,271.0,1,365,19,49,79,353,8,8,3,4.0,4.25,3.75,4.38,3.75,4.75,4.0,False,3.08,9,4697.0
within a few hours,0.9,0.81,False,3.0,True,True,Trinity-Bellwoods,43.65299,-79.41007,Private room in casa particular,Private room,2,1.0,1.0,105.0,28,365,3,9,39,314,5,5,0,5.0,5.0,5.0,5.0,5.0,4.6,4.8,False,2.17,32,3575.0
within an hour,1.0,1.0,False,1.0,True,True,Palmerston-Little Italy,43.66011,-79.41044,Entire home,Entire home/apt,4,2.0,2.0,172.0,28,365,0,0,0,0,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,False,1.0,36,5051.0
within an hour,1.0,1.0,False,1.0,True,False,Casa Loma,43.67685153,-79.40098237,Entire townhouse,Entire home/apt,6,2.0,4.0,450.0,2,27,11,41,71,345,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.0,50,3514.0
within an hour,1.0,0.96,False,15.0,True,True,South Riverdale,43.66997,-79.33645,Private room in home,Private room,1,1.0,1.0,120.0,1,365,20,44,74,349,16,16,8,4.63,4.88,4.94,4.88,5.0,4.88,4.88,False,5.85,32,3985.0
within an hour,1.0,0.96,False,15.0,True,True,South Riverdale,43.67062,-79.33707,Private room in home,Private room,1,1.0,1.0,92.0,1,365,1,21,51,326,11,11,6,4.82,4.82,4.73,4.91,4.91,4.73,4.45,False,3.88,30,3985.0
within a few hours,1.0,0.89,False,4.0,True,True,Clanton Park,43.73863,-79.43887,Entire rental unit,Entire home/apt,2,1.0,1.0,137.0,28,365,0,20,50,325,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.77,14,2504.0
within an hour,1.0,0.96,False,15.0,True,True,South Riverdale,43.66864,-79.33658,Private room in home,Private room,1,1.0,1.0,110.0,1,365,1,21,51,326,18,18,2,4.28,4.56,4.39,4.61,4.72,4.56,4.44,False,6.21,33,3985.0
within an hour,1.0,0.96,False,15.0,True,True,South Riverdale,43.6705,-79.33732,Private room in home,Private room,1,1.0,1.0,120.0,1,365,12,42,71,346,14,14,5,4.64,4.64,4.79,4.71,4.86,4.71,4.5,False,4.94,32,3985.0
within a few hours,1.0,0.67,False,1.0,True,False,Clanton Park,43.74921845,-79.43742368,Entire condo,Entire home/apt,2,1.0,1.0,134.0,29,1125,0,0,0,249,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,False,0.77,49,2937.0
within an hour,1.0,1.0,False,2.0,True,True,The Beaches,43.67269,-79.28249,Private room in home,Private room,1,1.0,1.0,45.0,28,365,0,5,35,310,2,2,1,5.0,4.5,4.0,4.5,5.0,5.0,5.0,True,1.15,16,1774.0
within an hour,1.0,0.93,False,274.0,True,True,Waterfront Communities-The Island,43.64217,-79.38163,Entire condo,Entire home/apt,3,1.0,2.0,469.0,3,1125,7,37,61,61,11,11,3,4.45,4.91,4.73,4.0,4.55,5.0,4.18,False,6.0,42,3965.0
within a day,0.78,0.83,False,3.0,True,True,Bayview Village,43.78645,-79.37429,Private room in home,Private room,2,1.0,1.0,80.0,7,365,19,49,79,354,21,21,5,4.62,4.57,4.33,4.67,4.62,4.71,4.33,False,7.41,11,4217.0
within an hour,1.0,0.71,False,1.0,True,True,Annex,43.66913,-79.39806,Entire rental unit,Entire home/apt,1,1.0,1.0,153.0,10,30,15,38,38,38,5,5,4,4.8,5.0,4.8,5.0,5.0,5.0,4.8,False,4.17,40,3896.0
within an hour,1.0,0.83,False,1.0,True,True,Waterfront Communities-The Island,43.64413,-79.38941,Private room in condo,Private room,2,1.0,1.0,390.0,1,90,0,0,0,78,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.43,55,1996.0
within an hour,1.0,1.0,False,3.0,True,True,Oakridge,43.69155946,-79.287574,Entire home,Entire home/apt,4,2.0,2.0,335.0,2,28,20,50,80,355,8,8,3,5.0,5.0,5.0,5.0,5.0,4.75,5.0,True,3.29,62,3439.0
within an hour,1.0,0.89,False,1.0,True,True,Moss Park,43.6530287,-79.36719431,Entire condo,Entire home/apt,2,1.0,1.0,280.0,2,365,12,42,68,343,3,3,2,4.0,4.33,4.33,3.67,4.33,4.67,4.0,False,2.81,32,3853.0
within an hour,1.0,0.96,False,2.0,True,True,Waterfront Communities-The Island,43.64413,-79.38941,Entire condo,Entire home/apt,4,2.0,2.0,514.0,2,365,17,17,17,17,16,16,5,5.0,5.0,5.0,5.0,5.0,5.0,4.94,False,5.27,56,3633.0
within an hour,1.0,1.0,False,3.0,True,True,Newtonbrook West,43.7917875,-79.424916,Private room in bungalow,Private room,2,1.0,1.0,84.0,30,1125,30,60,90,365,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1.3,52,2881.0
within a few hours,0.86,0.64,False,78.0,True,True,Willowdale East,43.76049,-79.4093,Entire condo,Entire home/apt,4,2.0,2.0,199.0,28,365,0,0,18,292,1,1,0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,False,0.59,20,2713.0
within an hour,0.97,0.99,False,28.0,True,True,Waterfront Communities-The Island,43.6386025,-79.3983574,Entire condo,Entire home/apt,10,3.0,3.0,785.0,28,1125,15,15,15,15,10,10,2,4.5,4.5,4.2,4.5,4.5,4.7,4.0,False,3.9,49,4603.0
within an hour,1.0,0.93,False,18.0,True,True,Wexford/Maryvale,43.74838,-79.30715,Entire home,Entire home/apt,2,1.0,1.0,153.0,1,60,26,56,86,86,7,7,3,4.43,4.71,4.86,4.86,4.71,4.71,4.57,False,2.69,11,5021.0
within an hour,1.0,0.97,False,2.0,True,True,Waterfront Communities-The Island,43.64309,-79.3801,Entire condo,Entire home/apt,4,1.0,2.0,350.0,2,1125,18,21,27,301,16,16,7,4.69,4.75,4.69,4.69,4.81,4.69,4.63,True,5.58,55,2608.0
within an hour,1.0,1.0,False,2.0,True,False,Hillcrest Village,43.81179598,-79.35703803,Private room in townhouse,Private room,2,1.0,1.0,70.0,1,90,11,34,64,64,5,5,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3.85,31,3246.0
within a few hours,1.0,0.47,False,1.0,True,True,Birchcliffe-Cliffside,43.69506899,-79.27011678,Private room in home,Private room,2,1.0,1.0,95.0,1,7,0,0,0,0,7,7,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,5.12,43,3565.0
within an hour,1.0,0.93,False,18.0,True,True,Wexford/Maryvale,43.74844,-79.30882,Entire home,Entire home/apt,2,1.0,1.0,153.0,1,60,24,54,84,84,5,5,3,4.8,5.0,5.0,5.0,5.0,4.6,4.6,False,1.88,10,5021.0
within an hour,1.0,1.0,False,1.0,True,False,Waterfront Communities-The Island,43.64014,-79.38046,Entire condo,Entire home/apt,3,1.0,2.0,268.0,28,31,19,49,79,169,11,11,4,4.73,4.64,4.91,4.73,4.82,5.0,4.45,False,3.71,45,5044.0
within a few hours,1.0,1.0,False,2.0,True,True,Trinity-Bellwoods,43.6499,-79.40751,Entire home,Entire home/apt,3,1.0,1.0,198.0,28,365,0,0,0,159,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.11,51,4403.0
within an hour,1.0,1.0,False,5.0,True,True,Church-Yonge Corridor,43.666111,-79.384413,Entire condo,Entire home/apt,2,1.0,1.0,169.0,3,365,0,3,3,96,4,4,3,4.5,4.75,4.5,4.5,4.0,4.75,4.75,True,3.43,12,2500.0
within an hour,0.96,1.0,False,36.0,True,True,Waterfront Communities-The Island,43.64192,-79.38153,Entire condo,Entire home/apt,4,1.0,2.0,310.0,2,60,2,19,49,324,19,19,5,4.89,4.95,4.89,5.0,4.95,5.0,4.84,False,6.79,31,3251.0
within a few hours,1.0,1.0,False,1.0,True,True,Waterfront Communities-The Island,43.64812,-79.37406,Entire condo,Entire home/apt,4,1.0,2.0,229.0,28,365,4,34,64,237,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,4.5,False,1.13,47,5053.0
within a day,1.0,0.98,True,4.0,True,True,Waterfront Communities-The Island,43.63819917,-79.39966895,Entire condo,Entire home/apt,2,1.0,1.0,94.0,28,365,5,5,27,117,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,False,1.0,36,3891.0
within an hour,1.0,0.86,False,3.0,True,False,Stonegate-Queensway,43.62905,-79.4961,Private room in home,Private room,1,1.0,1.0,49.0,28,1125,0,5,35,310,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.73,25,5045.0
within an hour,1.0,1.0,False,1.0,True,True,Niagara,43.63665057,-79.40592408,Entire condo,Entire home/apt,4,2.0,2.0,243.0,30,360,13,43,73,162,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1.61,37,1899.0
within an hour,1.0,0.97,False,1.0,True,False,Playter Estates-Danforth,43.67822643,-79.35965291,Entire rental unit,Entire home/apt,4,1.0,2.0,169.0,2,31,3,3,6,6,17,17,6,4.71,4.88,5.0,4.53,4.94,4.88,4.76,False,6.62,31,5058.0
within an hour,1.0,0.97,False,1.0,True,True,Waterfront Communities-The Island,43.64289598,-79.38047423,Entire condo,Entire home/apt,3,1.0,1.0,255.0,1,1125,2,32,62,152,16,16,9,4.75,4.81,4.81,4.63,4.94,5.0,4.81,False,7.16,50,4194.0
within a day,1.0,0.95,False,3.0,True,True,Alderwood,43.61395,-79.5384,Private room in home,Private room,2,1.0,1.0,42.0,4,28,1,7,7,7,6,6,1,4.83,5.0,5.0,5.0,4.83,4.67,4.83,False,2.4,23,1708.0
within an hour,1.0,0.99,False,5.0,True,True,Clairlea-Birchmount,43.72224,-79.29973,Private room in home,Private room,2,1.0,1.0,99.0,1,365,17,47,77,352,21,21,7,4.95,4.9,5.0,4.95,5.0,5.0,5.0,False,7.08,39,1545.0
within an hour,1.0,0.97,True,9.0,True,True,Waterfront Communities-The Island,43.64379919,-79.38863941,Entire condo,Entire home/apt,2,1.0,1.0,404.0,2,60,16,46,76,76,13,13,4,4.85,4.77,4.77,4.92,4.92,5.0,4.62,False,4.87,50,4712.0
within an hour,1.0,0.67,False,1.0,True,True,Dorset Park,43.75117,-79.26575,Private room in condo,Private room,2,1.0,1.0,85.0,28,60,27,57,87,87,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.65,41,2877.0
within an hour,1.0,1.0,False,3.0,True,False,Willowridge-Martingrove-Richview,43.6881,-79.54381,Private room in home,Private room,2,1.0,1.0,76.0,1,4,2,12,12,12,15,15,4,5.0,5.0,5.0,5.0,5.0,4.93,5.0,True,6.82,25,5018.0
within a day,0.9,0.5,False,1.0,True,False,Etobicoke West Mall,43.63971384,-79.56380878,Private room in condo,Private room,1,1.0,1.0,120.0,3,14,13,43,73,73,1,1,1,5.0,5.0,4.0,5.0,5.0,3.0,4.0,False,1.0,53,2865.0
